"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,090741,CME ,00,090 ,  331635,  231799,   16395,     724,   33303,  166181,    4271,    3350,   95722,    6178,   24764,    2627,       0,  304389,  292098,   27246,   39537,  -18728,  -16374,    1408,     343,    3203,  -18967,    -212,   -3526,     790,    -420,   -1455,     654,       0,  -18441,  -16404,    -287,   -2324,  100.0,   69.9,    4.9,    0.2,   10.0,   50.1,    1.3,    1.0,   28.9,    1.9,    7.5,    0.8,    0.0,   91.8,   88.1,    8.2,   11.9,    137,     10,      7,.,     12,     39,      8,      7,     43,      8,     14,      5,      0,     56,    100,    64.9,    22.8,    76.1,    36.7,    64.6,    22.7,    75.5,    36.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,090741,CME ,00,090 ,  350363,  248173,   14987,     381,   30100,  185148,    4483,    6876,   94932,    6598,   26219,    1973,       0,  322830,  308502,   27533,   41861,   -6847,  -12186,    1918,     -64,    1722,   -3525,    -368,    1326,   -5197,      68,    2928,     144,       0,   -6574,   -7024,    -273,     177,  100.0,   70.8,    4.3,    0.1,    8.6,   52.8,    1.3,    2.0,   27.1,    1.9,    7.5,    0.6,    0.0,   92.1,   88.1,    7.9,   11.9,    134,     10,      7,.,     12,     39,      8,     11,     40,     11,     12,.,      0,     59,     97,    66.1,    26.6,    76.4,    40.2,    66.0,    26.5,    76.0,    40.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,090741,CME ,00,090 ,  357210,  260359,   13069,     445,   28378,  188673,    4851,    5550,  100129,    6530,   23291,    1829,       0,  329404,  315526,   27806,   41684,    3524,    6056,    3075,     125,    1530,    -404,   -1900,   -4132,    5590,    1174,    -249,   -5522,       0,    2604,    2138,     920,    1386,  100.0,   72.9,    3.7,    0.1,    7.9,   52.8,    1.4,    1.6,   28.0,    1.8,    6.5,    0.5,    0.0,   92.2,   88.3,    7.8,   11.7,    132,     11,      5,.,     11,     39,      7,      9,     43,     14,     10,.,      0,     55,    100,    67.0,    28.1,    77.6,    42.1,    66.9,    27.9,    77.2,    41.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,092741,CME ,00,092 ,   96356,   70502,    2196,     456,    9915,   47506,     372,    6358,   18287,      98,     400,    3265,       0,   88101,   72180,    8255,   24176,    2311,     209,     113,      85,    2774,    -392,     -66,   -1629,    1969,      -1,       0,    1385,       0,    1372,    3093,     939,    -782,  100.0,   73.2,    2.3,    0.5,   10.3,   49.3,    0.4,    6.6,   19.0,    0.1,    0.4,    3.4,    0.0,   91.4,   74.9,    8.6,   25.1,     62,     12,.,.,.,     17,.,     10,     15,.,.,.,      0,     26,     42,    57.3,    28.8,    75.8,    41.3,    57.3,    28.4,    75.8,    40.9,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,092741,CME ,00,092 ,   94045,   70293,    2083,     371,    7141,   47898,     438,    7987,   16318,      99,     400,    1880,       0,   86729,   69087,    7316,   24958,    2801,    4730,     -29,    -126,   -2301,    2394,       0,     524,    -953,       9,       0,     455,       0,    2836,    1750,     -35,    1051,  100.0,   74.7,    2.2,    0.4,    7.6,   50.9,    0.5,    8.5,   17.4,    0.1,    0.4,    2.0,    0.0,   92.2,   73.5,    7.8,   26.5,     62,     11,.,.,.,     17,.,     12,     15,.,.,.,      0,     27,     41,    58.6,    30.2,    75.4,    42.8,    58.6,    29.8,    75.4,    42.3,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,092741,CME ,00,092 ,   91244,   65563,    2112,     497,    9442,   45504,     438,    7463,   17271,      90,     400,    1425,       0,   83893,   67337,    7351,   23907,    2115,    6413,      88,    -135,     451,     536,       0,   -2432,    1609,   -1022,       0,     925,       0,    3275,    2001,   -1160,     114,  100.0,   71.9,    2.3,    0.5,   10.3,   49.9,    0.5,    8.2,   18.9,    0.1,    0.4,    1.6,    0.0,   91.9,   73.8,    8.1,   26.2,     62,     11,.,.,.,     17,.,     10,     16,.,.,.,      0,     26,     42,    57.9,    30.4,    74.7,    43.9,    57.9,    29.9,    74.7,    43.4,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,096742,CME ,00,096 ,  212688,   72459,   20685,       0,   43354,  107685,    1432,   63658,   30610,    6751,    3131,    3130,       0,  190785,  170293,   21903,   42395,   11862,   19369,    5953,       0,   -4612,    4490,      48,   -4133,   -2307,    -819,    2098,    -483,    -175,   11776,    6707,      86,    5155,  100.0,   34.1,    9.7,    0.0,   20.4,   50.6,    0.7,   29.9,   14.4,    3.2,    1.5,    1.5,    0.0,   89.7,   80.1,   10.3,   19.9,    105,     10,      6,      0,      7,     38,      7,     20,     19,     10,.,      4,      0,     47,     75,    33.4,    24.8,    53.2,    38.4,    32.8,    24.6,    51.4,    38.3,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,096742,CME ,00,096 ,  200826,   53090,   14732,       0,   47966,  103195,    1384,   67791,   32917,    7570,    1033,    3613,     175,  179009,  163586,   21817,   37240,   12056,   10852,   -3945,     -17,    8339,    5486,     190,   -5143,    7296,     403,    1033,    -396,     -90,   15567,    8927,   -3511,    3129,  100.0,   26.4,    7.3,    0.0,   23.9,   51.4,    0.7,   33.8,   16.4,    3.8,    0.5,    1.8,    0.1,   89.1,   81.5,   10.9,   18.5,    112,     10,      5,      0,      8,     38,      8,     23,     22,     12,.,      5,.,     51,     82,    31.8,    24.3,    50.9,    36.6,    30.8,    24.1,    49.0,    36.4,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,096742,CME ,00,096 ,  188770,   42238,   18677,      17,   39627,   97709,    1194,   72934,   25621,    7167,       0,    4009,     265,  163442,  154659,   25328,   34111,    -109,    5504,   -2709,    -400,    2552,    5708,    -268,   -5823,   -4028,     266,   -2412,   -1350,       0,    -581,   -2781,     472,    2672,  100.0,   22.4,    9.9,    0.0,   21.0,   51.8,    0.6,   38.6,   13.6,    3.8,    0.0,    2.1,    0.1,   86.6,   81.9,   13.4,   18.1,    106,      8,      7,.,      7,     34,      6,     21,     23,     12,      0,      6,.,     49,     78,    36.6,    25.9,    56.8,    36.6,    35.5,    25.7,    54.9,    36.3,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,097741,CME ,00,097 ,  211620,   17792,   24265,       6,   50196,   63403,    5396,   27591,   67227,    6758,   59901,    6429,     338,  167978,  173822,   43642,   37798,  -12332,  -21505,    8828,       0,   -1856,   -8758,     -28,    2461,  -10284,    2228,    2994,    -236,       0,  -15706,   -8250,    3374,   -4082,  100.0,    8.4,   11.5,    0.0,   23.7,   30.0,    2.5,   13.0,   31.8,    3.2,   28.3,    3.0,    0.2,   79.4,   82.1,   20.6,   17.9,    124,      8,      9,.,     17,     24,      6,     21,     33,     13,      9,.,.,     61,     84,    38.1,    18.2,    49.8,    31.0,    38.0,    18.1,    49.7,    30.9,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
